arm,conversation_id,vignette_id,family,advisor_provider,advisor_model,patient_provider,patient_model,judge_1,judge_2,judge_3,rotation_index,seed
option_a,001__control__openai__r0,001,control,openai,openai/gpt-5.6-terra,meta,meta-llama/llama-3.3-70b-instruct,anthropic,meta,xai,1,20260626
option_a,001__control__openai__r1,001,control,openai,openai/gpt-5.6-terra,meta,meta-llama/llama-3.3-70b-instruct,anthropic,google,xai,2,20260627
option_a,001__control__openai__r2,001,control,openai,openai/gpt-5.6-terra,meta,meta-llama/llama-3.3-70b-instruct,anthropic,google,meta,3,20260628
option_a,001__control__anthropic__r0,001,control,anthropic,anthropic/claude-sonnet-5,meta,meta-llama/llama-3.3-70b-instruct,google,openai,xai,1,20260626
option_a,001__control__anthropic__r1,001,control,anthropic,anthropic/claude-sonnet-5,meta,meta-llama/llama-3.3-70b-instruct,google,meta,xai,2,20260627
option_a,001__control__anthropic__r2,001,control,anthropic,anthropic/claude-sonnet-5,meta,meta-llama/llama-3.3-70b-instruct,google,meta,openai,3,20260628
option_a,001__control__meta__r0,001,control,meta,meta-llama/llama-4-maverick,meta,meta-llama/llama-3.3-70b-instruct,anthropic,openai,xai,1,20260626
option_a,001__control__meta__r1,001,control,meta,meta-llama/llama-4-maverick,meta,meta-llama/llama-3.3-70b-instruct,anthropic,google,xai,2,20260627
option_a,001__control__meta__r2,001,control,meta,meta-llama/llama-4-maverick,meta,meta-llama/llama-3.3-70b-instruct,anthropic,google,openai,3,20260628
option_a,001__control__google__r0,001,control,google,google/gemini-3.6-flash,meta,meta-llama/llama-3.3-70b-instruct,anthropic,openai,xai,1,20260626
option_a,001__control__google__r1,001,control,google,google/gemini-3.6-flash,meta,meta-llama/llama-3.3-70b-instruct,anthropic,meta,xai,2,20260627
option_a,001__control__google__r2,001,control,google,google/gemini-3.6-flash,meta,meta-llama/llama-3.3-70b-instruct,anthropic,meta,openai,3,20260628
option_a,001__control__xai__r0,001,control,xai,x-ai/grok-4.3,meta,meta-llama/llama-3.3-70b-instruct,anthropic,meta,openai,1,20260626
option_a,001__control__xai__r1,001,control,xai,x-ai/grok-4.3,meta,meta-llama/llama-3.3-70b-instruct,anthropic,google,openai,2,20260627
